Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Prirodoslovna lepeza za mlade znanstvenike - suvremena nastava za izazove tržišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Gornjogradska gimnazija ,89594809853,23.10.2015,22.10.2016,"2.294.739,50 kn","2.294.739,50 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
Promocija obrazovanja za poduzetništvo i obrt u Ličko-senjskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Ličko-senjska županija ,40774389207,20.07.2015,19.07.2016,"280.509,00 kn","280.509,00 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
Zajedno možemo više – pojedinac u fokusu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Ambidekster klub ,70452429639,29.12.2014,28.02.2016,"749.299,96 kn","749.299,96 kn",,,,,
Za bolje sutra: Jačanje sposobnosti organizacija civilnoga društva za pružanje socijalnih usluga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Hrvatski savez slijepih ,49466521634,29.12.2014,28.02.2016,"749.407,06 kn","749.407,06 kn",,,,,
"IPAK - inkluzija, podrška, asistencija, kvaliteta",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Udruga roditelja djece s posebnim potrebama „Put u život“- PUŽ ,75502271466,29.12.2014,28.12.2015,"749.852,27 kn","749.852,27 kn",,,,,
"""SOS za MS- podrška i razvoj socijalnih usluga i inkluzivnog volonterstva""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Savez društava multiple skleroze Hrvatske ,42928524403,29.12.2014,28.02.2016,"522.423,82 kn","522.423,82 kn",,,,,
Osnaživanje ženskih organizacija civilnog društva za širenje servisa pomoći i podrške ženama koje su prživjele različite oblike rodno utemeljenog nasilja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Centar za žene žrtve rata ROSA ,29113415030,29.12.2014,28.02.2016,"729.702,24 kn","729.702,24 kn",,,,,
Socijalne usluge - nove mogućnosti za zapošljavanje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Udruga za promicanje ljudskih prava i medijskih sloboda „CENZURA PLUS“ ,13770912259,23.07.2015,22.09.2016,"1.301.570,32 kn","1.301.570,32 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
Energiska učinkovitost kamionskog prijevoza drva na brdsko-planinskim šumskim i javnim cestama.,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Šumarski fakultet Sveučilišta u Zagrebu ,7699719217,29.06.2015,29.09.2016,"784.137,87 kn","784.137,87 kn",,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Prehrambeno-tehnološki fakultet ,96371000697,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn",,,,,
Spin Asistent +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Hrvatske udruge paraplegičara i tetraplegičara ,24105496418,29.10.2015,28.10.2016,"744.665,55 kn","744.665,55 kn",,,,,
"""Nisi sam - pažnju ti dam""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Grad Gospić ,22538763965,06.11.2014,24.09.2015,"1.142.427,98 kn","1.193.884,40 kn",,,,,
Ličko-senjska županija - pomoćnici za učenike s teškoćama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Ličko-senjska županija ,40774389207,07.11.2014,09.10.2015,"1.041.303,78 kn","1.087.978,04 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
Promocija poduzetništva i obrta u šumarskom i drvnom sektoru,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Institut za razvoj i međunarodne odnose ,31120185175,20.07.2015,19.07.2016,"295.220,84 kn","295.220,84 kn",,,,,
"Poduzetništvo i obrtništvo je IN
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Obrtničko učilište - ustanova za obrazovanje odraslih ,66251160841,20.07.2015,19.07.2016,"229.014,28 kn","241.067,67 kn",,,,,
"PROmocija Poduzetništva i Obrta među srednjoškolcima u LIčko-senjskoj županiji
(PRO-PO-LI)
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,GTF – Inicijativa za održivi rast ,72712746460,20.07.2015,19.03.2016,"294.932,25 kn","310.455,00 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Sindikat policije Hrvatske ,26439251742,27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn",,,,,
Širenje usluge osobne asistencije za osobe s invaliditetom u Primorsko-goranskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga osoba s cerebralnom i dječjom paralizom Rijeka ,98422012846,29.10.2015,28.10.2016,"729.859,07 kn","729.859,07 kn",,,,,
Širenje usluge osobne asistencije za osobe s najtežim stupnjem invaliditeta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga osoba s mišićnom distrofijom Primorsko-goranske županije ,71954510830,29.10.2015,28.10.2016,"743.644,00 kn","743.644,00 kn",,,,,
Osobni asistent - pomoć kvalitetnom životu oboljelih od MS-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Društvo multiple skleroze Primorsko - goranske županije ,91656532246,29.10.2015,28.10.2016,"430.096,76 kn","430.096,76 kn",,,,,
OSOBNI ASISTENT - NEOVISAN ŽIVOT,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga za promicanje kvalitetnog obrazovanja mladih s invaliditetom „ZAMISLI“ ,51933368655,29.10.2015,28.10.2016,"563.280,86 kn","563.280,86 kn",,,,,
Izgradnja sustava potpore za mlade istraživače,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sveučilište u Rijeci, Filozofski fakultet",70505505759,29.06.2015,29.09.2016,"930.859,20 kn","930.859,20 kn",,,,,
Uloga miRNA domaćina kod replikacije herpes simpleks virusa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Rijeci ,64218323816,29.06.2015,29.09.2016,"1.072.912,53 kn","1.072.912,53 kn",,,,,
Usvajanje principa Hrvatskog kvalifikacijskog okvira u stručnim studijskim programima poduzetništva,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Visoka škola za menadžment u turizmu i informatici u Virovitici ,46576407858,18.06.2015,18.09.2016,"3.131.141,36 kn","3.295.938,28 kn",,,,,
"IURISPRUDENTIA – Unapređenje kvalitete obrazovanja na pravnim fakultetima osječkog, riječkog i splitskog sveučilišta",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sveučilište Josipa Jurja Strossmayera u Osijeku, Pravni fakultet Osijek",26416570803,18.06.2015,18.09.2016,"1.111.978,45 kn","1.187.376,88 kn",,,,,
Izrada standarda zanimanja/kvalifikacija uz unaprjeđenje zdravstvenih studijskih programa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sveučilište u Splitu, Sveučilišni odjel zdravstvenih studija",29845096215,29.06.2015,29.09.2016,"2.589.410,00 kn","2.725.696,70 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,PRIMORSKO-GORANSKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
GLAVNI PLAN RAZVOJA RIJEČKOG PROMETNOG PRAVCA NA PODRUČJU GRADA RIJEKE,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,PRIMORSKO-GORANSKA,GRAD RIJEKA ,54382731928,27.02.2015,30.09.2016,"3.048.783,23 kn","3.586.803,80 kn",,,,,
NOVE TEHNOLOGIJE ZA NOVE CIJEVI,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,VARGON DRUŠTVO S OGRANIČENOM ODGOVORNOŠĆU ZA PRERADU PLASTIČNIH MASA I OBRADU METALA ,12345076041,01.08.2014,30.06.2016,"5.201.472,99 kn","10.402.946,00 kn",,,,,
"SORDITO - Sustav za Optimizaciju Ruta u DInamičkom Transportnom Okruženju
",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Zagrebu FAKULTET PROMETNIH ZNANOSTI ,25410051374,16.10.2014,16.02.2016,"2.701.599,31 kn","3.475.670,37 kn",,,,,
Razvoj istraživačke infrastrukture na kampusu Sveučilišta u Rijeci,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Rijeci ,64218323816,18.04.2014,18.12.2015,"180.182.048,91 kn","180.182.048,91 kn",,,,,
Centar za translacijska medicinska istraživanja - TransMedRi,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Rijeci ,64218323816,18.04.2014,18.04.2016,"2.877.047,50 kn","2.877.047,50 kn",,,,,
Rekonstrukcija hotela “Vila Rova”,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Ugostiteljstvo i trgovina “Rova” ,9400923251,01.08.2014,20.07.2016,"7.448.269,70 kn","12.433.913,92 kn",,,,,
"IND - EKO – jačanje konkurentnosti tvrtke uvođenjem nove CIPP i ADR tehnologije, optimizacijom proizvodnih procesa i usklađivanjem poslovanja s relevantnim zakonodavstvom",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,IND - EKO d. o. o ,60067885527,11.08.2014,14.07.2016,"6.234.448,19 kn","12.447.157,54 kn",,,,,
Povećanje konkurentnosti tvrtke M.A.I. Trade   i unaprjeđenje poslovanja temeljenom na IKT rješenju Enterprise Resource Planning (ERP) ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,M.A.I. Trade d.o.o. ,23142525757,29.04.2015,15.04.2016,"195.032,76 kn","278.618,23 kn",,,,,
Informatizacija poslovnog sustava tvrtke C.A.K. d.o.o.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,C.A.K. d.o.o. ,33213139882,30.04.2015,20.04.2016,"416.953,60 kn","595.648,00 kn",,,,,
Studija modernizacije željezničke pruge M202 Zagreb GK - Rijeka na dionici Oštarije - Škrljevo,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,PRIMORSKO-GORANSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"3.400.000,00 kn","4.000.000,00 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,PRIMORSKO-GORANSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
Interdisciplinarni model terminološkoga upravljanja – sociokognitivni temelj obradbe strukovnih jezika (IMOTEP),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut za hrvatski jezik i jezikoslovlje ,12268324202,29.06.2015,29.09.2016,"286.505,32 kn","286.505,32 kn",,,,,
STEM INTERAKTIV PRHG - Razvoj novih kurikula i digitalnih sadržaja ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Prva riječka hrvatska gimnazija ,38205788341,23.10.2015,22.10.2016,"704.643,82 kn","805.123,20 kn",,,,,
Znanost plus,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Prirodoslovna škola Vladimira Preloga ,72166604204,23.10.2015,22.10.2016,"2.499.696,39 kn","2.499.696,39 kn",,,,,
DOGRADNJA VODOVODA I KANALIZACIJE NA PODRUJU AGLOMERACIJE MALI LOŠINJ-PREDIO POLJANA,Kohezijski fond,EN,Okoliš,Adriatic Croatia,PRIMORSKO-GORANSKA,Vodoopskrba i odvodnja Cres Lošinj d.o.o. ,55232800223,03.03.2016,31.12.2016,"3.634.613,96 kn","4.276.016,42 kn",,,,,
I. FAZA KANALIZACIJE SANITARNIH OTPADNIH VODA NASELJA JADRANOVO,Kohezijski fond,EN,Okoliš,Adriatic Croatia,PRIMORSKO-GORANSKA,MURVICA d.o.o. ,68902357395,03.03.2016,30.06.2016,"5.197.834,87 kn","6.115.099,85 kn",,,,,
Tehnička pomoć za jačanje kapaciteta korisnika za upravljanje ŽCGO Marišćina,Kohezijski fond,EN,Okoliš,Adriatic Croatia,PRIMORSKO-GORANSKA,Ekoplus d.o.o.  ,10434882946,12.10.2015,30.09.2016,"807.500,00 kn","950.000,00 kn",,,,,
Jačanje kapaciteta za socijalno poduzetništvo,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Udruga za pomoć ovisnicima ""Vida"" Rijeka",81956069386,29.12.2014,28.12.2015,"199.618,23 kn","199.618,23 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
Paritetnim fondom do jačanja socijalnog dijaloga u sektoru graditeljstva - SOGRADI,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Hrvatska udruga poslodavaca ,80978339255,27.07.2015,26.07.2016,"1.697.471,00 kn","1.697.471,00 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
GDi GISDATA –Razvoj ljudskih potencijala i povećanje konkurentnosti zaposlenika za rast i izvoz baziran na inovativnim proizvodima,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,GDi Gisdata d.o.o. ,95032181708,20.07.2015,19.06.2016,"202.900,00 kn","213.690,00 kn",,,,,
Nacionalno studentsko startup natjecanje - poticanje poduzetničke kulture te pozitivnog odnosa prema cjeloživotnom učenju ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Poduzetnički inkubator ZIP d.o.o. ,10843368196,20.07.2015,19.03.2016,"260.884,18 kn","274.614,93 kn",,,,,
Znanjem do novih tržišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Trea trade d.o.o ,96536434016,30.07.2015,29.07.2016,"274.713,09 kn","289.171,68 kn",,,,,
Modeliranje i mjerenje neutronskog doznog ekvivalenta oko medicinskih linearnih akceleratora elektrona ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Medicinski fakultet Sveučilišta J.J. Strossamyera u Osijeku  ,16214165873,22.07.2015,22.10.2016,"514.750,00 kn","514.750,00 kn",,,,,
Stjecanje Istraživačke i Znanstvene Izvrsnosti u Funkcionalizaciji biomedicinskih materijala (SIZIF),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Rijeci  ,64218323816,29.06.2015,29.09.2016,"665.069,07 kn","937.245,03 kn",,,,,
Psihosocijalno osnaživanje posebno vulnerabilnih pojedinaca i osoba koje im pomažu ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga za promicanje istih mogućnosti (UPIM) ,31162759112,29.12.2014,28.12.2015,"198.876,70 kn","198.876,70 kn",,,,,
MAJSTOR MACMALIĆ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Ruta - grupa za kvalitetniji život na otoku Cresu ,30074598670,29.12.2014,28.12.2015,"197.536,01 kn","197.536,01 kn",,,,,
„Solidarnost i kvaliteta u pružanju socijalnih usluga“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga MI ,15816581765,29.12.2014,28.12.2015,"749.989,67 kn","749.989,67 kn",,,,,
Edukativni boćarski kamp za osobe s invaliditetom i sportske asistente,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Boćarski klub osoba s invaliditetom ""Pulac""",92948526955,29.12.2014,29.02.2016,"199.882,00 kn","199.882,00 kn",,,,,
Društveno poduzetnički generator,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Savez udruga Rojca ,79571628324,29.12.2014,28.12.2015,"199.935,08 kn","199.935,08 kn",,,,,
ČUJEMO S(V)E VIDIMO -  mladih za mlade na području PGŽ-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga Ri Rock ,41377018776,29.12.2014,28.12.2015,"194.742,42 kn","194.742,42 kn",,,,,
EFESDE Matrica,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Krila-terapijsko jahanje, udruga osoba sa cerebralnom i dječijom paralizom",71157904537,29.12.2014,28.12.2015,"743.413,60 kn","743.413,60 kn",,,,,
Formiranje i aktiviranje IT volonterske mreže u području TPK,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Udruga za terapiju i aktivnosti pomoću konja ""Pegaz"" Rijeka",85096602012,29.12.2014,28.12.2015,"468.871,88 kn","468.871,88 kn",,,,,
Osnaživanje udruga udomitelja za djecu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sirius - Centar za psihološko savjetovanje, edukaciju i istraživanje",96202266101,29.12.2014,28.02.2016,"599.057,29 kn","599.057,29 kn",,,,,
"Unaprjeđenje socijalnih usluga suradnjom, razvojem i edukacijom",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga Terra ,29551185037,29.12.2014,28.02.2016,"747.022,25 kn","747.022,25 kn",,,,,
SUPPORT - SUstavna Podrška za POdršku Roditeljstvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Udruga za promicanje dobrobiti djece ""Portić""",3827102663,29.12.2014,28.02.2016,"641.089,32 kn","641.089,32 kn",,,,,
Usvajanje načela HKO u visokoobrazovnim institucijama u polju ekonomija - ECONQUAL,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sveučilište u Rijeci, Ekonomski fakultet",26093119930,18.06.2015,18.09.2016,"3.794.856,45 kn","3.994.842,20 kn",,,,,
